,VJ.combi,count.seq,mouseID,analysis_type,filename,path
261,IGHV3-1*01_IGHJ3*01_45_1,3,m14,neg_YFP,IGHV3-1-01_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV3-1-01_IGHJ3-01_45_1.aln.fasta
260,IGHV1-26*01_IGHJ3*01_45_1,3,m14,neg_YFP,IGHV1-26-01_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-26-01_IGHJ3-01_45_1.aln.fasta
255,IGHV8-8*01_IGHJ3*01_51_1,3,m14,neg_YFP,IGHV8-8-01_IGHJ3-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV8-8-01_IGHJ3-01_51_1.aln.fasta
253,IGHV1-66*01_IGHJ4*01_36_1,3,m14,neg_YFP,IGHV1-66-01_IGHJ4-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-66-01_IGHJ4-01_36_1.aln.fasta
250,IGHV1-31*01_IGHJ4*01_45_1,3,m14,neg_YFP,IGHV1-31-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-31-01_IGHJ4-01_45_1.aln.fasta
249,IGHV3-6*01_IGHJ1*03_39_1,3,m14,neg_YFP,IGHV3-6-01_IGHJ1-03_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV3-6-01_IGHJ1-03_39_1.aln.fasta
247,IGHV1-47*01_IGHJ1*03_45_1,3,m14,neg_YFP,IGHV1-47-01_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-47-01_IGHJ1-03_45_1.aln.fasta
246,IGHV2-2*01_IGHJ2*01_36_1,3,m14,neg_YFP,IGHV2-2-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV2-2-01_IGHJ2-01_36_1.aln.fasta
240,IGHV5-17*01_IGHJ2*01_42_1,3,m14,neg_YFP,IGHV5-17-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV5-17-01_IGHJ2-01_42_1.aln.fasta
239,IGHV9-3*01_IGHJ3*01_42_2,3,m14,neg_YFP,IGHV9-3-01_IGHJ3-01_42_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV9-3-01_IGHJ3-01_42_2.aln.fasta
237,IGHV1-84*01_IGHJ3*01_48_2,3,m14,neg_YFP,IGHV1-84-01_IGHJ3-01_48_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-84-01_IGHJ3-01_48_2.aln.fasta
